GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1500000US250250008031,250250008031,"Block Group 1, Census Tract 8.03, Suffolk County, Massachusetts",661,79,104,47,66,41,7,9,85,35,18,18,67,39,4,6,23,18,21,16,27,20,74,39,53,38,46,26,40,34,11,11,15,15
1500000US250250008032,250250008032,"Block Group 2, Census Tract 8.03, Suffolk County, Massachusetts",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250250101031,250250101031,"Block Group 1, Census Tract 101.03, Suffolk County, Massachusetts",330,44,90,41,8,10,11,12,43,29,5,7,44,37,0,12,16,25,0,12,14,18,16,14,10,13,37,33,0,12,15,14,21,26
1500000US250250101032,250250101032,"Block Group 2, Census Tract 101.03, Suffolk County, Massachusetts",22,15,5,7,5,7,0,12,0,12,0,12,0,12,0,12,0,12,0,12,6,9,0,12,0,12,6,8,0,12,0,12,0,12
1500000US250250101033,250250101033,"Block Group 3, Census Tract 101.03, Suffolk County, Massachusetts",100,41,40,19,0,12,0,12,30,33,0,12,19,25,3,5,3,5,0,12,0,12,0,12,5,8,0,12,0,12,0,12,0,12
1500000US250250101041,250250101041,"Block Group 1, Census Tract 101.04, Suffolk County, Massachusetts",730,90,45,27,33,40,15,24,17,15,0,12,39,35,5,9,21,22,8,11,81,48,42,44,70,38,99,64,53,32,91,57,111,44
1500000US250250101042,250250101042,"Block Group 2, Census Tract 101.04, Suffolk County, Massachusetts",460,88,109,53,0,12,37,39,35,45,0,12,0,12,16,17,15,17,15,18,45,37,11,13,23,21,41,29,38,30,21,20,54,33
1500000US250250101043,250250101043,"Block Group 3, Census Tract 101.04, Suffolk County, Massachusetts",498,91,93,41,90,65,21,26,21,19,11,17,23,22,34,42,16,25,17,18,39,43,28,27,61,50,7,11,5,8,0,12,32,24
1500000US250250102031,250250102031,"Block Group 1, Census Tract 102.03, Suffolk County, Massachusetts",595,120,188,105,80,52,66,74,39,62,0,12,0,12,21,31,0,12,0,12,12,20,123,87,37,37,29,32,0,12,0,12,0,12
1500000US250250102032,250250102032,"Block Group 2, Census Tract 102.03, Suffolk County, Massachusetts",1172,184,369,155,170,134,11,18,15,25,28,33,25,29,0,12,0,12,29,32,94,60,213,144,55,27,30,27,16,25,41,38,76,61
1500000US250250102033,250250102033,"Block Group 3, Census Tract 102.03, Suffolk County, Massachusetts",1040,175,273,134,142,120,22,26,51,53,7,12,14,22,0,12,40,37,28,30,92,88,143,92,117,72,58,74,17,27,25,28,11,18
1500000US250250102034,250250102034,"Block Group 4, Census Tract 102.03, Suffolk County, Massachusetts",208,65,17,19,21,24,24,29,43,42,13,21,0,12,0,12,0,12,0,12,20,32,59,49,0,12,0,12,0,12,0,12,11,17
