GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Household received Food Stamps/SNAP in the past 12 months:,Margin of Error; Household received Food Stamps/SNAP in the past 12 months:,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months:,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months:,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability
1500000US250250104033,250250104033,"Block Group 3, Census Tract 104.03, Suffolk County, Massachusetts",525,123,54,51,54,51,0,12,471,132,47,37,424,126
1500000US250250104041,250250104041,"Block Group 1, Census Tract 104.04, Suffolk County, Massachusetts",854,131,43,36,22,26,21,25,811,134,11,17,800,134
1500000US250250104042,250250104042,"Block Group 2, Census Tract 104.04, Suffolk County, Massachusetts",137,48,0,12,0,12,0,12,137,48,0,12,137,48
1500000US250250104043,250250104043,"Block Group 3, Census Tract 104.04, Suffolk County, Massachusetts",412,106,35,20,24,22,11,18,377,110,85,28,292,104
1500000US250250104051,250250104051,"Block Group 1, Census Tract 104.05, Suffolk County, Massachusetts",7,10,0,12,0,12,0,12,7,10,0,12,7,10
1500000US250250104052,250250104052,"Block Group 2, Census Tract 104.05, Suffolk County, Massachusetts",508,51,63,30,33,18,30,25,445,49,41,23,404,51
1500000US250250104053,250250104053,"Block Group 3, Census Tract 104.05, Suffolk County, Massachusetts",352,48,223,51,152,53,71,28,129,45,89,37,40,27
1500000US250250104081,250250104081,"Block Group 1, Census Tract 104.08, Suffolk County, Massachusetts",906,57,46,38,0,12,46,38,860,64,36,35,824,65
1500000US250250105001,250250105001,"Block Group 1, Census Tract 105, Suffolk County, Massachusetts",344,78,0,12,0,12,0,12,344,78,0,12,344,78
1500000US250250105002,250250105002,"Block Group 2, Census Tract 105, Suffolk County, Massachusetts",752,112,104,64,43,49,61,54,648,123,35,31,613,119
1500000US250250105003,250250105003,"Block Group 3, Census Tract 105, Suffolk County, Massachusetts",580,96,41,42,9,14,32,40,539,102,109,67,430,78
1500000US250250106001,250250106001,"Block Group 1, Census Tract 106, Suffolk County, Massachusetts",1233,144,73,56,30,23,43,54,1160,139,124,58,1036,142
1500000US250250106002,250250106002,"Block Group 2, Census Tract 106, Suffolk County, Massachusetts",765,110,165,67,104,54,61,51,600,121,70,47,530,112
1500000US250250107011,250250107011,"Block Group 1, Census Tract 107.01, Suffolk County, Massachusetts",508,115,0,12,0,12,0,12,508,115,9,13,499,116
1500000US250250107012,250250107012,"Block Group 2, Census Tract 107.01, Suffolk County, Massachusetts",540,115,0,12,0,12,0,12,540,115,35,42,505,121
1500000US250250107013,250250107013,"Block Group 3, Census Tract 107.01, Suffolk County, Massachusetts",453,85,5,11,5,11,0,12,448,86,20,21,428,87
1500000US250250107021,250250107021,"Block Group 1, Census Tract 107.02, Suffolk County, Massachusetts",485,103,0,12,0,12,0,12,485,103,0,12,485,103
1500000US250250107022,250250107022,"Block Group 2, Census Tract 107.02, Suffolk County, Massachusetts",319,76,0,12,0,12,0,12,319,76,0,12,319,76
1500000US250250107023,250250107023,"Block Group 3, Census Tract 107.02, Suffolk County, Massachusetts",507,80,18,27,18,27,0,12,489,75,21,20,468,75
1500000US250250108011,250250108011,"Block Group 1, Census Tract 108.01, Suffolk County, Massachusetts",372,92,0,12,0,12,0,12,372,92,7,12,365,93
1500000US250250108012,250250108012,"Block Group 2, Census Tract 108.01, Suffolk County, Massachusetts",641,103,0,12,0,12,0,12,641,103,80,49,561,108
1500000US250250108013,250250108013,"Block Group 3, Census Tract 108.01, Suffolk County, Massachusetts",728,112,0,12,0,12,0,12,728,112,28,26,700,115
1500000US250250108021,250250108021,"Block Group 1, Census Tract 108.02, Suffolk County, Massachusetts",557,117,0,12,0,12,0,12,557,117,33,22,524,114
1500000US250250108022,250250108022,"Block Group 2, Census Tract 108.02, Suffolk County, Massachusetts",786,118,0,12,0,12,0,12,786,118,53,46,733,122
1500000US250250108023,250250108023,"Block Group 3, Census Tract 108.02, Suffolk County, Massachusetts",330,67,8,13,0,12,8,13,322,68,10,12,312,68
1500000US250250201011,250250201011,"Block Group 1, Census Tract 201.01, Suffolk County, Massachusetts",465,163,0,12,0,12,0,12,465,163,53,85,412,148
1500000US250250201012,250250201012,"Block Group 2, Census Tract 201.01, Suffolk County, Massachusetts",645,161,0,12,0,12,0,12,645,161,42,41,603,161
1500000US250250201013,250250201013,"Block Group 3, Census Tract 201.01, Suffolk County, Massachusetts",756,147,0,12,0,12,0,12,756,147,15,25,741,149
1500000US250250201014,250250201014,"Block Group 4, Census Tract 201.01, Suffolk County, Massachusetts",781,151,0,12,0,12,0,12,781,151,10,15,771,153
1500000US250250202001,250250202001,"Block Group 1, Census Tract 202, Suffolk County, Massachusetts",884,139,102,49,29,25,73,47,782,137,67,69,715,118
1500000US250250202002,250250202002,"Block Group 2, Census Tract 202, Suffolk County, Massachusetts",700,123,94,57,83,53,11,17,606,115,0,12,606,115
1500000US250250202003,250250202003,"Block Group 3, Census Tract 202, Suffolk County, Massachusetts",610,96,36,58,0,12,36,58,574,97,12,20,562,98
1500000US250250203011,250250203011,"Block Group 1, Census Tract 203.01, Suffolk County, Massachusetts",176,57,129,53,58,30,71,52,47,37,8,13,39,35
1500000US250250203012,250250203012,"Block Group 2, Census Tract 203.01, Suffolk County, Massachusetts",1120,109,0,12,0,12,0,12,1120,109,66,41,1054,115
1500000US250250203021,250250203021,"Block Group 1, Census Tract 203.02, Suffolk County, Massachusetts",582,55,0,12,0,12,0,12,582,55,26,25,556,55
1500000US250250203031,250250203031,"Block Group 1, Census Tract 203.03, Suffolk County, Massachusetts",652,137,11,18,11,18,0,12,641,136,45,36,596,143
1500000US250250203032,250250203032,"Block Group 2, Census Tract 203.03, Suffolk County, Massachusetts",272,70,0,12,0,12,0,12,272,70,18,21,254,72
1500000US250250203033,250250203033,"Block Group 3, Census Tract 203.03, Suffolk County, Massachusetts",791,113,63,45,53,42,10,16,728,114,170,96,558,114
1500000US250250301001,250250301001,"Block Group 1, Census Tract 301, Suffolk County, Massachusetts",828,96,38,29,21,22,17,20,790,96,58,38,732,97
1500000US250250301002,250250301002,"Block Group 2, Census Tract 301, Suffolk County, Massachusetts",469,94,0,12,0,12,0,12,469,94,20,22,449,90
1500000US250250302001,250250302001,"Block Group 1, Census Tract 302, Suffolk County, Massachusetts",1052,78,35,29,35,29,0,12,1017,81,128,70,889,89
1500000US250250303001,250250303001,"Block Group 1, Census Tract 303, Suffolk County, Massachusetts",1436,160,108,73,108,73,0,12,1328,174,128,78,1200,174
1500000US250250303002,250250303002,"Block Group 2, Census Tract 303, Suffolk County, Massachusetts",410,105,71,43,41,39,30,35,339,96,0,12,339,96
1500000US250250303003,250250303003,"Block Group 3, Census Tract 303, Suffolk County, Massachusetts",508,135,39,35,24,27,15,23,469,138,53,65,416,131
1500000US250250303004,250250303004,"Block Group 4, Census Tract 303, Suffolk County, Massachusetts",345,84,0,12,0,12,0,12,345,84,15,23,330,84
1500000US250250304001,250250304001,"Block Group 1, Census Tract 304, Suffolk County, Massachusetts",877,96,5,10,0,12,5,10,872,94,141,72,731,102
1500000US250250304002,250250304002,"Block Group 2, Census Tract 304, Suffolk County, Massachusetts",633,99,9,9,0,12,9,9,624,99,98,62,526,110
1500000US250250305001,250250305001,"Block Group 1, Census Tract 305, Suffolk County, Massachusetts",312,50,0,12,0,12,0,12,312,50,38,31,274,54
1500000US250250305002,250250305002,"Block Group 2, Census Tract 305, Suffolk County, Massachusetts",642,92,0,12,0,12,0,12,642,92,12,13,630,92
